job_title,company,location,description,skills,apply_link
Full Stack Developer Fresher,ShruMit,"Tirupati, Andhra Pradesh","Company Description

We suggest you enter details here.
Role Description

This is a full-time on-site role for a Full Stack Developer Fresher located in Tirupati Urban. The candidate will work on developing, testing, and deploying software applications, including both front-end and back-end components. They will collaborate with team members to understand requirements, troubleshoot issues, and deliver efficient, scalable, and maintainable code while adhering to best practices in software development.
Qualifications
• Proficiency in Front-End Development, including CSS and other essential front-end technologies
• Foundational knowledge of Back-End Web Development, with an understanding of server-side logic and databases
• Skills in Software Development and Full-Stack Development to contribute to all layers of an application
• Ability to learn and work with modern development frameworks and tools
• Team player with strong problem-solving and communication skills
• Bachelor's degree in Computer Science, Information Technology, or a related field
• Familiarity with industry best practices and a willingness to learn new technologies",,https://www.foundit.in/job/full-stack-developer-fresher-shrumit-tirupati-38306915?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Javascript Developer - Fresher,Educase India,"Hyderabad, Telangana","Job Description:

As a JavaScript Developer - Fresher at Educase India, your role will involve full-time on-site responsibilities for front-end and back-end web development. You will be utilizing your skills in JavaScript and Redux.js to create innovative solutions for our educational platform.

Key Responsibilities:
- Develop front-end and back-end web applications
- Utilize JavaScript and Redux.js for software development
- Collaborate with team members to ensure coding best practices are followed
- Participate in web development projects and internships
- Solve problems efficiently with strong analytical skills

Qualifications:
- Proficiency in Front-End Development and JavaScript
- Knowledge of Back-End Web Development and Software Development
- Experience working with Redux.js
- Strong problem-solving and analytical skills
- Previous experience in web development projects or internships
- Ability to work effectively in a team environment and adhere to coding best practices
- Bachelor's degree in Computer Science or a related field,",,https://www.shine.com/jobs/javascript-developer-fresher/educase-india/17862349?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Full Stack Java Developer - TRAC & CCLT,Barclays,"Pune, Maharashtra","Join us a Full Stack Java Developer - TRAC & CCLT at Barclays where you'll spearhead the evolution of our digital landscape, driving innovation and excellence. You'll harness cutting-edge technology to revolutionize our digital offerings, ensuring unapparelled customer experiences.

To be successful as a Full Stack Java Developer - TRAC & CCLT, where you should have experience with:
• Technical Skill: Java, Spring framework, Spring Boot, Microservices, Unix, SQL
• Knowledge on the build tools, CI/CD
• Multi-threading hands-on required
• Fluent in communication and good at teamwork
• Problem solving and analytical skills

Some other highly valued skills may include:
• Containerization knowledge like Kubernetes or docker
• Java Script, React- Good to have React Redux
• Mongo DB
• Kafka

You may be assessed on the key critical skills relevant for success in role, such as risk and controls, change and transformation, business acumen strategic thinking and digital and technology, as well as job-specific technical skills.

This role is based in Pune.

Purpose of the role

To design, develop and improve software, utilising various engineering methodologies, that provides business, platform, and technology capabilities for our customers and colleagues.

Accountabilities
• Development and delivery of high-quality software solutions by using industry aligned programming languages, frameworks, and tools. Ensuring that code is scalable, maintainable, and optimized for performance.
• Cross-functional collaboration with product managers, designers, and other engineers to define software requirements, devise solution strategies, and ensure seamless integration and alignment with business objectives.
• Collaboration with peers, participate in code reviews, and promote a culture of code quality and knowledge sharing.
• Stay informed of industry technology trends and innovations and actively contribute to the organization’s technology communities to foster a culture of technical excellence and growth.
• Adherence to secure coding practices to mitigate vulnerabilities, protect sensitive data, and ensure secure software solutions.
• Implementation of effective unit testing practices to ensure proper code design, readability, and reliability.

Assistant Vice President Expectations
• To advise and influence decision making, contribute to policy development and take responsibility for operational effectiveness. Collaborate closely with other functions/ business divisions.
• Lead a team performing complex tasks, using well developed professional knowledge and skills to deliver on work that impacts the whole business function. Set objectives and coach employees in pursuit of those objectives, appraisal of performance relative to objectives and determination of reward outcomes
• If the position has leadership responsibilities, People Leaders are expected to demonstrate a clear set of leadership behaviours to create an environment for colleagues to thrive and deliver to a consistently excellent standard. The four LEAD behaviours are: L – Listen and be authentic, E – Energise and inspire, A – Align across the enterprise, D – Develop others.
• OR for an individual contributor, they will lead collaborative assignments and guide team members through structured assignments, identify the need for the inclusion of other areas of specialisation to complete assignments. They will identify new directions for assignments and/ or projects, identifying a combination of cross functional methodologies or practices to meet required outcomes.
• Consult on complex issues; providing advice to People Leaders to support the resolution of escalated issues.
• Identify ways to mitigate risk and developing new policies/procedures in support of the control and governance agenda.
• Take ownership for managing risk and strengthening controls in relation to the work done.
• Perform work that is closely related to that of other areas, which requires understanding of how areas coordinate and contribute to the achievement of the objectives of the organisation sub-function.
• Collaborate with other areas of work, for business aligned support areas to keep up to speed with business activity and the business strategy.
• Engage in complex analysis of data from multiple sources of information, internal and external sources such as procedures and practises (in other areas, teams, companies, etc).to solve problems creatively and effectively.
• Communicate complex information. 'Complex' information could include sensitive information or information that is difficult to communicate because of its content or its audience.
• Influence or convince stakeholders to achieve outcomes.

All colleagues will be expected to demonstrate the Barclays Values of Respect, Integrity, Service, Excellence and Stewardship – our moral compass, helping us do what we believe is right. They will also be expected to demonstrate the Barclays Mindset – to Empower, Challenge and Drive – the operating manual for how we behave.",,https://search.jobs.barclays/job/pune/full-stack-java-developer-trac-and-cclt/13015/83279619952?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
SofSOFTWARE DEVELOPER FOR FRESHER IT,Software Hyd,"Hyderabad, Telangana","Still waiting to see yourself as a Developer? Wait no longer, we are hiring freshers... Grab this opportunity to join our creative & dedicated team! Job Location: Hyderabad Java Dotnet Testing Devops AWS Python Further process Call me 9989612735",,https://www.iitjobs.com/job/sofsoftware-developer-for-fresher-it-hyderabad-telangana-india-863?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Fresher Front End Developer,Mantra Media,"Indore, Madhya Pradesh","Description
:
Fresher Front End Developer

Experience
:
0 to 6 Months (Must have training or Diploma )

Qualification
:
Undergraduate / Postgraduate / Relevant Diploma

Job Type
:
Full time

Job Location
:
Indore",,"https://www.glassdoor.co.in/job-listing/fresher-front-end-developer-mantra-media-JV_IC2876676_KO0,27_KE28,40.htm?jl=1006150340793&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Software Developer Instructor,NxtWave,"Hyderabad, Telangana","Software Development - Instructor

About NxtWave

NxtWave is one of India’s fastest-growing ed-tech startups, revolutionizing the 21st-century job market. NxtWave is transforming youth into highly skilled tech professionals through its CCBP 4.0 programs, regardless of their educational background.

NxtWave is founded by Rahul Attuluri (Ex Amazon, IIIT Hyderabad), Sashank Reddy (IIT Bombay) and Anupam Pedarla (IIT Kharagpur). Supported by Orios Ventures, Better Capital, and Marquee Angels, NxtWave raised $33 million in 2023 from Greater Pacific Capital.

As an official partner for NSDC (under the Ministry of Skill Development & Entrepreneurship, Govt. of India) and recognized by NASSCOM, NxtWave has earned a reputation for excellence.

Some of its prestigious recognitions include:
• Technology Pioneer 2024 by the World Economic Forum, one of only 100 startups chosen globally
• ‘Startup Spotlight Award of the Year’ by T-Hub in 2023
• ‘Best Tech Skilling EdTech Startup of the Year 2022’ by Times Business Awards
• ‘The Greatest Brand in Education’ in a research-based listing by URS Media

NxtWave Founders Anupam Pedarla and Sashank Gujjula were honoured in the 2024 Forbes India 30 Under 30 for their contributions to tech education.

NxtWave breaks learning barriers by offering vernacular content for better comprehension and retention. NxtWave now has paid subscribers from 650+ districts across India. Its learners are hired by over 2000+ companies including Amazon, Accenture, IBM, Bank of America, TCS, Deloitte and more. Know more about NxtWave: https://www.ccbp.in

Read more about us in the news - Economic Times | CNBC | Yourstory | VCCircle

About NxtWave Institute of Advanced Technologies (NIAT):

NIAT is NxtWave’s flagship 4 Years, on-campus program for Computer Science Education. It is designed to offer one of India’s most advanced industry-aligned curricula. Situated in the heart of Hyderabad's Tech landscape, NIAT’s new-age campus is surrounded by global giants like Google, Microsoft, Apple, Infosys, TCS and many more providing students with unparalleled exposure to the world of technology.

At NIAT, world-class software engineers are the mentors who work hand-in-hand with students, ensuring they graduate as industry-ready professionals. With a curriculum that seamlessly integrates real-world tech requirements, NIAT prepares students to thrive in an ever-evolving tech world.

NIAT’s 2024-2028 admissions cycle was a massive success, with all seats filling up rapidly with a long waitlist for admissions, further solidifying NIAT’s reputation as the premier destination for aspiring tech leaders.

Know more about NxtWave: https://www.ccbp.in

Know more about NIAT: https://www.niatindia.com/

Read more about us in the news - Economic Times | CNBC | Yourstory | VCCircle

Job Description:

At NxtWave, we believe in delivering practical, industry-relevant training that empowers students to become great developers. Our product developers are passionate about teaching, simplifying complex concepts, and creating inclusive learning environments for students. This is your chance to make a lasting impact on students who have just completed their 12th standard and are eager to excel as developers.

Key Responsibilities
• Deliver daily in-person classroom training on programming and/or full-stack development.
• Design, develop, and implement learning activities, materials, and resources that align with industry standards.
• Provide personalized learning experiences by understanding student needs and delivering tailored support throughout the program.
• Actively assist and resolve student queries and issues promptly, providing mentorship and guidance.
• Contribute to curriculum development and improvements based on student feedback and industry trends.
• Continuously develop and demonstrate a teaching philosophy that inspires student learning.
• Review student deliverables for accuracy and quality.
• Handle a class size of 70-100 students, ensuring engagement and effective learning outcomes.
• Stay current with professional development in both pedagogy and software development practices.

Requirements:

Skills

Must-Have:
• A Master’s degree (M.Tech) in CSE, IT, or ECE will be an added advantage.
• Having teaching or training experience in Computer Science is an added advantage.
• Passion for teaching and mentoring, with a commitment to student success.
• Alignment with NxtWave’s vision and culture.
• Professional fluency in English, with excellent communication and presentation skills.
• Strong proficiency in Python, Java, and JavaScript programming languages. Knowledge of additional programming languages is an added advantage.
• Strong proficiency in Data Structures and Algorithms.
• Strong knowledge of object-oriented programming.
• Proficiency in content development using tools like Google Sheets, Google Slides, etc. (Knowledge of Microsoft 365 stack is a plus).
• Ability to quickly learn and use technology platforms to interact with students.
• Empathy, ambition, and the ability to work closely with individuals from diverse backgrounds and cultures.
• Familiarity with Git and version control systems.
• Strong knowledge of the subject matter, industry standards, and best practices in software development.
• Ability to adapt teaching methods to various learning styles & requirements.
• Strong problem-solving and solution-seeking mindset.
• Openness to constructive feedback and continuous improvement.
• A sense of ownership, initiative, and drive for delivering high-quality teaching outcomes.

Job Overview:
• Working days: 6 days a week
• Type of employment: 2 Months Training + Employee (Till 2025 Passout)
• Type of employment: 11 Months Training + Employment based on performance (For 2026 Passout)
• CTC: Up to 25,000 Rs During Training + upto 12 LPA (After training based on the performance)",,https://www.expertia.ai/nxtwave-co-in/job/hiring-software-developer-instructor-685aa4bf2612c1433946c467?utm_source=pnc_pages_apply&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Freshers for ReactJS/NodeJS,Infomanav,"Navi Mumbai, Maharashtra","Job Opening for ReactJS/NodeJS Developers

Nashik, Mumbai

Know More
• Domain :Developer
• Experience :1 Year
• Education :B. Tech Graduate
• Salary :Not Disclosed

Skills : ReactJS, NodeJS, JavaScript, TypeScript, Express.js, RESTful APIs, MongoDB, MySQL, Redux, Git, HTML, CSS, Agile, Webpack, npm.

Job Description

ReactJS/NodeJS Developer in Nashik/Mumbai: 1+ year of experience, strong analytical skills, quick learner, and commitment to offshore client projects with training in ReactJS, NodeJS, and React Native.

Requirements
• You will be trained in programming languages like ReactJS, NodeJS, ReactNative, etc.
• Working on offshore client projects.
• Need min 1 years commitment
• Ready to work from Nashik or Mumbai office
• Quick Learner.
• Strong analytical and logical skills (will be evaluated through tests)
• Good communication Skills.

We value your interest in Infomanav

We value your interest in Infomanav and appreciate the time and effort you put into your application. Our team looks forward to reviewing your application and finding the best talent to join our vibrant and innovative team. Apply now and take the next step towards an exciting and fulfilling career with Infomanav!",,https://in.linkedin.com/jobs/view/freshers-for-reactjs-nodejs-at-infomanav-4317193039?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Programmer Fresher for Web developer (PHP),Endeavor IT Solution,"Indore, Madhya Pradesh","Company Description

Bestowed with high professionalism, Endeavor It solution is a Web solution provider located in Indore, India. We are professional organization committed to creating and implementing innovative solutions that help transform business. We provide services like Website Designing, Web Development, Search Engine Optimization (SEO), Ecommerce Solutions, Database Designing, and Graphic Designing. We always seek to create that which is better, greater and more successful.

We will work with our customers to fulfill their needs and help them with every possible way. We have an expertise to understand the client's requirements and work accordingly and provide the excellent quality which can enhance the opportunities for our customers to get succeed..

We learn and grow with our clients as much as our clients learn and grow with us.
Our experience lets us to analyze your needs speedily and thus deliver on our promises faster than our challengers, without costing as much. Our staff is full time devoted to our clients not a wandering band of sub contractors interested only in working for as many hours as possible. We form long-lasting and solid relationships with our clients, which turns into their success.

Job Description

We are looking PHP Developer Fresher for our organization.

Must have Knowledge in Web application development.

Must have good knowledge of PHP.

Knowledge of MySQL, Javascript, HTML, CSS,

Strong Knowledge Ajax, Jquery, MVC architecture, OOP'S.

Knowledge of Codeigniter or any other PHP framework will be a big advantage

Strong knowledge of Web Development using WordPress

Knowledge of Web Development using CSS3 and HTML5, PHP

Walkin between 10:30am - 4pm

Apply Directly at http://endeavoritsolution.com/careers/

Venue:

Endevor IT Solutions Pvt. Ltd

301, The Giriraj Building, Near Gurjar Hospital,
Bhawarkua, Indore 452001.

Contact No: 8120346489
Hemakshi(HR)

Additional Information

All your information will be kept confidential according to EEO guidelines.",,https://jobs.smartrecruiters.com/EndeavorITSolution/113496869-software-programmer-fresher-for-web-developer-php-?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
HTML Developer Fresher Jobs,#1 Vinayak InfoSoft - SEO Company Ahmedabad,"Ahmedabad, Gujarat","Dear Candidate,

Hope you are doing great!!

Company Details

#1 Vinayak InfoSoft - SEO Company Ahmedabad was established in the year 1999at Ahmedabad with an insight to provide a competitive approach towards internet marketing to deliver the best quality services at an affordable price. Looking at the need to have a company that can understand the ownership of the growing business some quality developers can come together for expansion.

HTML Developer Responsibilities
• Meeting with Web designers to discuss project design and layout
• Coding the entire HTML site from end to end
• Debugging code and other front-end web applications
• Ensuring cross-platform compatibility for responsiveness
• Troubleshooting application errors
• Conducting website performance and usability tests
• Meeting deadlines for publishing
• Providing customer support

Qualification
• Bachelor's degree in computer science, computer engineering, MIS, or similar would be more preferred or a recent pass out.
• At least 1 yearexperience as an HTML Developer or would have done any live project
• In-depth knowledge of coding languages including HTML, CSS, JavaScript, and XML.
• Ability to troubleshoot application errors.
• Knowledge of web design and user application as per their need/usability
• Excellent communication and interpersonal skills for customer assistance
• Strong attention to details so there is less to & fro",,https://jobs.vinayakinfosoft.com/html-developer-fresher-jobs/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Full Stack Web Developer (Experienced / Freshers),Geekworkx Technologies,"Guwahati, Assam","We are looking for a Full-stack web developer with experience in building high-performing, scalable, enterprise-grade applications. The Developer will be part of a talented software team that works on mission-critical applications. The roles and responsibilities include managing application development while providing expertise in the full software development lifecycle, from concept and design to testing.

Job Type:

Full-Time (Not Work from Home)

Job Location:

Guwahati

Salary:

Negotiable

Employee Provident Fund: Yes

Health Insurance: Yes

Skill Sets
• Experience in developing HTML 5, CSS 3, SASS / LESS, jQuery, Advanced javascript, AJAX, XML, JSON, SOAP, Web Services will be preferable.
• Candidates with experience in backend technologies such as PHP, MySQL, and NodeJS will be preferred
• Knowledge of Bootstrap, Foundation, and javascript Web Application Framework like ReactJS, etc. is preferred.
• Considerable ability to be determined and adamant about markup quality.
• Experience with version control (GIT preferred).
• Participate in full PWA responsive application development lifecycle and write code that is performant, maintainable, clear, and concise.
• Understand the design pattern for better performance.
• Excellent analytical, critical thinking, problem-solving and prioritization skills.
• Proficiency in application development lifecycle & code management.
• Excellent spoken and written communication as well as receptive listening skills, with the ability to present complex ideas in a clear, concise fashion to technical and non-technical audiences.

Basic Requirement:

Proficiency in local language (Assamese)",,"https://www.glassdoor.co.in/job-listing/full-stack-web-developer-experienced-freshers-geekworkx-technologies-JV_IC2851826_KO0,45_KE46,68.htm?jl=1009664635888&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
